tariff_units,second_class_full_tariff,second_class_20_discount_tariff,second_class_40_discount_tariff,second_class_full_tariff_ex_tax
118,"€ 21,00 ","€ 16,80 ","€ 12,60 ","€ 19,27 "
119,"€ 21,10 ","€ 16,88 ","€ 12,66 ","€ 19,36 "
120,"€ 21,10 ","€ 16,88 ","€ 12,66 ","€ 19,36 "
121,"€ 21,30 ","€ 17,04 ","€ 12,78 ","€ 19,54 "
122,"€ 21,40 ","€ 17,12 ","€ 12,84 ","€ 19,63 "
123,"€ 21,50 ","€ 17,20 ","€ 12,90 ","€ 19,72 "
124,"€ 21,50 ","€ 17,20 ","€ 12,90 ","€ 19,72 "
125,"€ 21,60 ","€ 17,28 ","€ 12,96 ","€ 19,82 "
126,"€ 21,70 ","€ 17,36 ","€ 13,02 ","€ 19,91 "
127,"€ 21,80 ","€ 17,44 ","€ 13,08 ","€ 20,00 "
128,"€ 21,90 ","€ 17,52 ","€ 13,14 ","€ 20,09 "
129,"€ 22,00 ","€ 17,60 ","€ 13,20 ","€ 20,18 "
130,"€ 22,00 ","€ 17,60 ","€ 13,20 ","€ 20,18 "
131,"€ 22,10 ","€ 17,68 ","€ 13,26 ","€ 20,28 "
132,"€ 22,20 ","€ 17,76 ","€ 13,32 ","€ 20,37 "
133,"€ 22,30 ","€ 17,84 ","€ 13,38 ","€ 20,46 "
134,"€ 22,40 ","€ 17,92 ","€ 13,44 ","€ 20,55 "
135,"€ 22,50 ","€ 18,00 ","€ 13,50 ","€ 20,64 "
136,"€ 22,50 ","€ 18,00 ","€ 13,50 ","€ 20,64 "
137,"€ 22,60 ","€ 18,08 ","€ 13,56 ","€ 20,73 "
138,"€ 22,70 ","€ 18,16 ","€ 13,62 ","€ 20,83 "
139,"€ 22,80 ","€ 18,24 ","€ 13,68 ","€ 20,92 "
140,"€ 22,90 ","€ 18,32 ","€ 13,74 ","€ 21,01 "
141,"€ 23,00 ","€ 18,40 ","€ 13,80 ","€ 21,10 "
142,"€ 23,00 ","€ 18,40 ","€ 13,80 ","€ 21,10 "
143,"€ 23,10 ","€ 18,48 ","€ 13,86 ","€ 21,19 "
144,"€ 23,20 ","€ 18,56 ","€ 13,92 ","€ 21,28 "
145,"€ 23,30 ","€ 18,64 ","€ 13,98 ","€ 21,38 "
146,"€ 23,40 ","€ 18,72 ","€ 14,04 ","€ 21,47 "
147,"€ 23,50 ","€ 18,80 ","€ 14,10 ","€ 21,56 "
148,"€ 23,50 ","€ 18,80 ","€ 14,10 ","€ 21,56 "
149,"€ 23,60 ","€ 18,88 ","€ 14,16 ","€ 21,65 "
150,"€ 23,70 ","€ 18,96 ","€ 14,22 ","€ 21,74 "
151,"€ 23,80 ","€ 19,04 ","€ 14,28 ","€ 21,83 "
152,"€ 23,80 ","€ 19,04 ","€ 14,28 ","€ 21,83 "
153,"€ 23,90 ","€ 19,12 ","€ 14,34 ","€ 21,93 "
154,"€ 24,00 ","€ 19,20 ","€ 14,40 ","€ 22,02 "
155,"€ 24,10 ","€ 19,28 ","€ 14,46 ","€ 22,11 "
156,"€ 24,10 ","€ 19,28 ","€ 14,46 ","€ 22,11 "
157,"€ 24,20 ","€ 19,36 ","€ 14,52 ","€ 22,20 "
158,"€ 24,30 ","€ 19,44 ","€ 14,58 ","€ 22,29 "
159,"€ 24,40 ","€ 19,52 ","€ 14,64 ","€ 22,39 "
160,"€ 24,40 ","€ 19,52 ","€ 14,64 ","€ 22,39 "
161,"€ 24,50 ","€ 19,60","€ 14,70 ","€ 22,48 "
162,"€ 24,60 ","€ 19,68 ","€ 14,76 ","€ 22,57 "
163,"€ 24,70 ","€ 19,76 ","€ 14,82 ","€ 22,66 "
164,"€ 24,70 ","€ 19,76 ","€ 14,82 ","€ 22,66 "
165,"€ 24,80 ","€ 19,84 ","€ 14,88 ","€ 22,75 "
166,"€ 24,90 ","€ 19,92 ","€ 14,94 ","€ 22,84 "
167,"€ 25,00 ","€ 20,00 ","€ 15,00 ","€ 22,94 "
168,"€ 25,00 ","€ 20,00 ","€ 15,00 ","€ 22,94 "
169,"€ 25,10 ","€ 20,08 ","€ 15,06 ","€ 23,03 "
170,"€ 25,20 ","€ 20,16 ","€ 15,12 ","€ 23,12 "
171,"€ 25,20 ","€ 20,16 ","€ 15,12 ","€ 23,12 "
172,"€ 25,30 ","€ 20,24 ","€ 15,18 ","€ 23,21 "
173,"€ 25,40 ","€ 20,32 ","€ 15,24 ","€ 23,30 "
174,"€ 25,50 ","€ 20,40 ","€ 15,30 ","€ 23,39 "
175,"€ 25,50 ","€ 20,40 ","€ 15,30 ","€ 23,39 "
